frame,side weight,sensitivity,threshold,buf size,gamma,goal
112,10.0,0.5,7.0,28,0.96,0
110,10.0,0.5,7.0,28,0.97,0
110,10.0,0.5,7.0,28,0.98,0
110,10.0,0.5,7.0,28,0.99,0
110,10.0,0.5,7.0,32,0.95,0
110,10.0,0.5,7.0,32,0.96,0
110,10.0,0.5,7.0,32,0.97,0
110,10.0,0.5,7.0,32,0.98,0
110,10.0,0.5,7.0,32,0.99,0
115,6.0,1.0,5.0,8,0.95,0
115,6.0,1.0,5.0,8,0.96,0
114,6.0,1.0,5.0,8,0.97,0
114,6.0,1.0,5.0,8,0.98,0
801,6.0,1.0,5.0,8,0.99,0
801,6.0,1.0,5.0,12,0.95,0
801,6.0,1.0,5.0,12,0.96,0
801,6.0,1.0,5.0,12,0.97,0
801,6.0,1.0,5.0,12,0.98,0
801,6.0,1.0,5.0,12,0.99,0
802,6.0,1.0,5.0,16,0.95,0
802,6.0,1.0,5.0,16,0.96,0
716,6.0,1.0,5.0,16,0.97,0
803,6.0,1.0,5.0,16,0.98,0
803,6.0,1.0,5.0,16,0.99,0
660,6.0,1.0,5.0,20,0.95,0
661,6.0,1.0,5.0,20,0.96,0
664,6.0,1.0,5.0,20,0.97,0
666,6.0,1.0,5.0,20,0.98,0
138,6.0,1.0,5.0,20,0.99,0
720,6.0,1.0,5.0,24,0.95,0
727,6.0,1.0,5.0,24,0.96,0
139,6.0,1.0,5.0,24,0.97,0
139,6.0,1.0,5.0,24,0.98,0
138,6.0,1.0,5.0,24,0.99,0
734,6.0,1.0,5.0,28,0.95,0
140,6.0,1.0,5.0,28,0.96,0
138,6.0,1.0,5.0,28,0.97,0
110,6.0,1.0,5.0,28,0.98,0
110,6.0,1.0,5.0,28,0.99,0
140,6.0,1.0,5.0,32,0.95,0
138,6.0,1.0,5.0,32,0.96,0
110,6.0,1.0,5.0,32,0.97,0
110,6.0,1.0,5.0,32,0.98,0
110,6.0,1.0,5.0,32,0.99,0
801,6.0,1.0,6.0,8,0.95,0
801,6.0,1.0,6.0,8,0.96,0
801,6.0,1.0,6.0,8,0.97,0
801,6.0,1.0,6.0,8,0.98,0
801,6.0,1.0,6.0,8,0.99,0
801,6.0,1.0,6.0,12,0.95,0
802,6.0,1.0,6.0,12,0.96,0
801,6.0,1.0,6.0,12,0.97,0
802,6.0,1.0,6.0,12,0.98,0
802,6.0,1.0,6.0,12,0.99,0
804,6.0,1.0,6.0,16,0.95,0
804,6.0,1.0,6.0,16,0.96,0
804,6.0,1.0,6.0,16,0.97,0
804,6.0,1.0,6.0,16,0.98,0
805,6.0,1.0,6.0,16,0.99,0
805,6.0,1.0,6.0,20,0.95,0
725,6.0,1.0,6.0,20,0.96,0
807,6.0,1.0,6.0,20,0.97,0
137,6.0,1.0,6.0,20,0.98,0
137,6.0,1.0,6.0,20,0.99,0
808,6.0,1.0,6.0,24,0.95,0
137,6.0,1.0,6.0,24,0.96,0
136,6.0,1.0,6.0,24,0.97,0
137,6.0,1.0,6.0,24,0.98,0
137,6.0,1.0,6.0,24,0.99,0
811,6.0,1.0,6.0,28,0.95,0
745,6.0,1.0,6.0,28,0.96,0
136,6.0,1.0,6.0,28,0.97,0
137,6.0,1.0,6.0,28,0.98,0
138,6.0,1.0,6.0,28,0.99,0
814,6.0,1.0,6.0,32,0.95,0
137,6.0,1.0,6.0,32,0.96,0
139,6.0,1.0,6.0,32,0.97,0
136,6.0,1.0,6.0,32,0.98,0
136,6.0,1.0,6.0,32,0.99,0
802,6.0,1.0,7.0,8,0.95,0
802,6.0,1.0,7.0,8,0.96,0
800,6.0,1.0,7.0,8,0.97,0
802,6.0,1.0,7.0,8,0.98,0
801,6.0,1.0,7.0,8,0.99,0
802,6.0,1.0,7.0,12,0.95,0
